 	Area	X	Y	Slice
1	123	425.74	155.28	1
2	138	301.29	222.54	1
3	136	388.68	260.22	1
4	146	30.73	306.48	1
5	102	472.66	339.20	1
6	121	334.12	351.71	1
7	134	97.48	357.57	1
8	121	420.40	389.63	1
9	119	223.95	436.13	1
10	116	460.06	475.02	1
11	127	423.58	161.73	2
12	145	302.36	224.96	2
13	147	383.06	255.11	2
14	154	27.99	308.85	2
15	114	470.84	342.68	2
16	141	99.75	356.17	2
17	133	336.47	355.73	2
18	132	418.82	387.65	2
19	129	214.03	431.13	2
20	119	462.18	476.68	2
21	112	424.20	160.27	3
22	141	299.42	229.88	3
23	136	382.67	259.56	3
24	148	25.59	310.88	3
25	107	470.40	345.07	3
26	128	102.73	356.23	3
27	122	336.08	357.10	3
28	118	418.19	390.10	3
29	125	212.96	426.67	3
30	110	463.81	479.25	3
31	100	429.48	162.16	4
32	131	298.68	234.92	4
33	123	380.82	257.07	4
34	143	21.54	315.47	4
35	82	471.91	343.65	4
36	129	103.94	353.77	4
37	115	334.79	353.30	4
38	106	418.89	390.36	4
39	111	210.36	428.20	4
40	89	462.67	480.38	4
41	117	433.04	159.92	5
42	136	295.42	239.77	5
43	129	382.33	262.00	5
44	144	20.99	318.87	5
45	116	333.16	352.20	5
46	129	107.36	354.03	5
47	116	420.97	390.19	5
48	116	213.45	427.20	5
49	102	457.75	473.56	5
50	132	436.80	155.96	6
51	146	290.95	244.08	6
52	142	380.23	263.22	6
53	147	22.51	320.62	6
54	112	475.11	342.74	6
55	141	107.85	350.66	6
56	129	336.74	352.41	6
57	127	425.41	394.51	6
58	129	211.43	426.59	6
59	123	459.49	473.79	6
60	135	438.94	156.82	7
61	143	290.60	246.37	7
62	142	382.18	267.71	7
63	150	22.04	315.35	7
64	114	471.91	340.85	7
65	131	334.20	352.42	7
66	139	110.92	357.05	7
67	132	425.35	397.76	7
68	132	218.02	427.60	7
69	122	458.02	471.46	7
70	116	433.43	159.63	8
71	139	295.11	252.22	8
72	130	378.55	265.90	8
73	147	22.55	314.11	8
74	116	335.96	353.03	8
75	126	109.06	357.57	8
76	115	424.80	398.88	8
77	111	224.28	427.64	8
78	102	461.80	469.83	8
79	105	436.06	158.56	9
80	135	294.47	254.37	9
81	126	381.81	265.32	9
82	139	21.38	307.46	9
83	124	108.50	357.11	9
84	108	337.23	356.52	9
85	107	424.42	402.19	9
86	106	226.75	428.22	9
87	91	463.21	472.19	9
88	129	436.79	160.03	10
89	139	294.00	257.83	10
90	136	389.22	267.70	10
91	149	18.30	303.02	10
92	124	336.91	355.29	10
93	135	100.59	357.53	10
94	123	424.83	401.61	10
95	123	228.87	428.57	10
96	113	464.13	469.72	10
97	130	432.61	158.82	11
98	147	294.01	261.38	11
99	139	390.64	266.79	11
100	150	19.73	302.43	11
101	110	470.91	337.04	11
102	142	98.58	356.44	11
103	128	330.91	358.90	11
104	126	424.60	398.67	11
105	127	229.77	432.69	11
106	121	464.57	468.50	11
107	126	439.39	156.79	12
108	144	291.50	259.65	12
109	136	392.39	264.59	12
110	150	22.89	302.11	12
111	103	470.22	330.88	12
112	136	95.08	350.26	12
113	119	329.07	365.91	12
114	121	431.89	400.33	12
115	120	229.88	433.15	12
116	111	464.83	468.12	12
117	107	436.11	160.70	13
118	128	293.09	260.33	13
119	125	396.37	262.99	13
120	141	28.24	304.75	13
121	129	94.51	354.45	13
122	113	331.68	367.46	13
123	112	436.26	398.77	13
124	109	230.76	436.72	13
125	95	465.16	469.93	13
126	105	435.79	166.23	14
127	131	293.82	260.34	14
128	125	401.24	267.18	14
129	147	28.81	301.82	14
130	127	96.02	356.24	14
131	114	333.75	361.99	14
132	109	439.75	396.28	14
133	115	229.79	433.92	14
134	103	466.79	470.69	14
135	128	438.69	168.14	15
136	147	290.97	265.92	15
137	136	402.26	269.95	15
138	150	28.20	304.58	15
139	109	477.43	329.98	15
140	137	94.47	353.00	15
141	130	336.89	356.62	15
142	122	437.91	397.38	15
143	127	228.72	435.72	15
144	117	470.32	470.23	15
145	122	439.92	172.70	16
146	139	402.44	265.41	16
147	143	291.87	267.55	16
148	153	26.81	306.94	16
149	109	475.83	335.07	16
150	129	338.72	354.61	16
151	142	92.08	356.06	16
152	121	437.64	398.67	16
153	126	229.24	436.59	16
154	118	473.13	474.52	16
155	105	448.38	173.19	17
156	133	404.83	265.43	17
157	139	293.39	269.71	17
158	146	28.08	308.95	17
159	120	333.48	355.55	17
160	129	93.40	360.09	17
161	115	433.83	399.38	17
162	114	227.85	440.49	17
163	101	469.83	475.96	17
164	107	449.34	171.74	18
165	124	407.04	261.28	18
166	133	295.85	271.76	18
167	143	30.02	310.09	18
168	114	332.28	354.44	18
169	128	88.02	356.97	18
170	107	438.92	402.33	18
171	93	465.59	473.50	18
172	117	450.79	177.29	19
173	137	410.64	264.70	19
174	140	293.23	271.11	19
175	145	32.71	310.70	19
176	101	473.89	332.62	19
177	120	335.10	351.42	19
178	133	87.06	353.24	19
179	113	438.20	400.96	19
180	121	226.36	437.08	19
181	107	462.55	470.84	19
182	126	449.56	177.90	20
183	142	413.85	261.09	20
184	147	292.04	273.19	20
185	153	31.45	314.05	20
186	109	478.30	330.80	20
187	125	341.25	351.28	20
188	138	93.36	356.38	20
189	122	436.76	399.33	20
190	127	225.13	435.78	20
191	117	458.94	473.04	20
192	117	447.57	177.85	21
193	134	412.01	259.60	21
194	142	295.73	275.20	21
195	148	30.07	314.72	21
196	106	475.21	332.29	21
197	125	347.63	349.88	21
198	133	96.47	357.27	21
199	117	433.76	398.88	21
200	120	221.30	432.99	21
201	114	458.04	470.02	21
202	106	445.13	178.50	22
203	124	410.89	257.57	22
204	132	295.56	280.78	22
205	145	27.18	314.73	22
206	113	349.31	346.63	22
207	129	91.97	359.17	22
208	112	435.34	403.05	22
209	108	223.12	437.96	22
210	94	457.57	469.32	22
211	107	445.96	172.82	23
212	128	407.54	255.07	23
213	135	297.74	283.90	23
214	149	26.84	321.08	23
215	99	470.75	333.97	23
216	114	350.11	345.47	23
