ID	Area	X	Y	Slice
1	125	424.66	155.56	1
2	145	302.95	221.87	1
3	141	386.27	263.62	1
4	154	35.39	305.92	1
5	105	476.28	337.51	1
6	128	338.46	354.41	1
7	137	95.17	358.77	1
8	124	420.13	393.32	1
9	126	230.57	434.74	1
10	117	460.35	474.71	1
11	119	425.08	155.33	2
12	141	302.51	221.32	2
13	135	387.23	263.38	2
14	149	35.72	306.10	2
15	104	477.73	338.04	2
16	125	337.60	352.60	2
17	135	94.54	359.47	2
18	117	420.15	393.02	2
19	124	228.50	435.97	2
20	115	460.11	475.05	2
21	102	424.86	155.68	3
22	135	302.30	221.48	3
23	129	387.41	262.93	3
24	142	36.24	306.18	3
25	111	338.02	352.27	3
26	129	94.19	359.62	3
27	113	420.12	392.24	3
28	108	228.06	435.94	3
29	100	460.55	475.79	3
30	123	424.09	155.21	4
31	140	302.37	221.68	4
32	139	386.97	263.74	4
33	152	36.14	305.86	4
34	112	478.72	337.67	4
35	127	336.78	351.83	4
36	135	95.30	359.26	4
37	124	418.85	392.44	4
38	125	227.47	436.40	4
39	116	461.12	475.46	4
40	118	426.02	155.47	5
41	141	301.71	222.99	5
42	140	388.23	261.60	5
43	153	34.77	305.98	5
44	105	478.05	339.11	5
45	130	335.80	351.14	5
46	136	95.78	358.68	5
47	125	419.89	391.71	5
48	123	226.74	437.84	5
49	119	460.45	477.17	5
50	96	425.29	155.09	6
51	132	302.15	223.40	6
52	126	389.42	261.42	6
53	139	33.47	306.76	6
54	109	335.75	350.47	6
55	132	95.53	358.39	6
56	110	420.45	390.96	6
57	109	225.69	437.62	6
58	98	460.77	477.27	6
59	121	425.02	154.80	7
60	140	302.04	224.09	7
61	141	389.15	260.52	7
62	145	33.73	306.42	7
63	106	477.21	339.48	7
64	123	335.73	349.91	7
65	137	95.50	358.41	7
66	121	420.63	391.71	7
67	123	225.74	438.28	7
68	113	460.99	476.80	7
69	126	425.40	154.44	8
70	142	302.21	224.38	8
71	137	389.70	261.15	8
72	151	32.89	306.98	8
73	110	474.91	339.24	8
74	126	333.83	350.77	8
75	137	96.36	357.14	8
76	123	421.25	389.90	8
77	122	225.89	436.98	8
78	119	460.70	475.53	8
79	98	424.97	155.85	9
80	133	301.85	223.04	9
81	125	389.31	261.04	9
82	145	31.98	306.33	9
83	114	333.58	351.25	9
84	125	96.87	357.02	9
85	110	421.21	389.71	9
86	105	224.10	436.19	9
87	123	425.74	155.28	10
88	138	301.29	222.54	10
89	136	388.68	260.22	10
90	146	30.73	306.48	10
91	102	472.66	339.20	10
92	121	334.12	351.71	10
93	134	97.48	357.57	10
94	121	420.40	389.63	10
95	119	223.95	436.13	10
96	116	460.06	475.02	10
97	130	424.43	155.86	11
98	143	301.33	222.75	11
99	141	388.84	260.49	11
100	152	31.08	306.53	11
101	112	471.31	338.43	11
102	130	335.16	351.65	11
103	138	97.17	357.73	11
104	124	420.48	390.53	11
105	125	223.12	436.28	11
106	122	459.75	474.61	11
107	98	424.86	157.29	12
108	127	299.81	223.58	12
109	127	387.43	259.78	12
110	141	29.65	306.07	12
111	90	471.87	340.16	12
112	110	334.77	352.72	12
113	125	97.46	356.59	12
114	109	419.87	388.92	12
115	110	221.65	434.82	12
116	94	460.73	475.52	12
117	114	424.44	157.35	13
118	139	299.15	223.76	13
119	138	386.69	258.47	13
120	145	28.53	306.67	13
121	99	471.94	340.56	13
122	123	333.99	353.30	13
123	130	96.51	356.84	13
124	122	420.57	389.20	13
125	117	219.82	434.67	13
126	110	461.33	475.93	13
127	128	425.65	156.77	14
128	144	299.17	223.91	14
129	143	386.35	258.20	14
130	153	28.58	307.15	14
131	113	471.62	340.05	14
132	129	334.86	353.30	14
133	140	97.64	355.95	14
134	126	419.93	389.55	14
135	125	219.96	434.47	14
136	121	461.14	474.97	14
137	114	426.55	156.58	15
138	135	299.57	225.51	15
139	129	384.49	257.55	15
140	142	29.16	308.36	15
141	119	335.50	354.00	15
142	127	98.63	356.01	15
143	116	420.60	389.09	15
144	108	218.37	434.83	15
145	95	461.11	475.03	15
146	110	425.13	158.31	16
147	134	301.07	225.72	16
148	131	383.19	256.47	16
149	146	28.68	308.12	16
150	102	472.61	342.09	16
151	134	97.82	355.64	16
152	122	335.85	355.18	16
153	118	420.74	388.86	16
154	117	216.41	433.50	16
155	105	461.84	474.91	16
156	126	424.82	158.79	17
157	145	301.17	225.77	17
158	144	383	255.82	17
159	153	28.94	308.64	17
160	117	472.88	342.76	17
161	133	336.18	355.48	17
162	145	98.26	356.34	17
163	128	420.39	388.09	17
164	130	215.48	433.56	17
165	121	462.13	475.57	17
166	108	424.15	159.99	18
167	136	301.57	226.08	18
168	128	383.87	255.90	18
169	147	29.10	307.72	18
170	101	473.73	342.22	18
171	133	98.10	355.70	18
172	118	336.06	355.42	18
173	115	420.36	388.13	18
174	110	215.82	434.03	18
175	103	462.06	475.05	18
176	105	423.15	161.81	19
177	138	301.67	225.61	19
178	130	382.68	254.46	19
179	145	27.69	308.55	19
180	123	336.48	355.82	19
181	133	99.98	356.43	19
182	115	419.58	387.54	19
183	116	213.93	432.83	19
184	101	461.91	476.59	19
185	127	423.58	161.73	20
186	145	302.36	224.96	20
187	147	383.06	255.11	20
188	154	27.99	308.85	20
189	114	470.84	342.68	20
190	141	99.75	356.17	20
191	133	336.47	355.73	20
192	132	418.82	387.65	20
193	129	214.03	431.13	20
194	119	462.18	476.68	20
195	111	424.10	162.28	21
196	137	301.65	224.43	21
197	133	384.00	254.38	21
198	151	27.20	308.79	21
199	98	470.18	342.46	21
200	122	336.39	355.93	21
201	134	99.78	356.18	21
202	117	418.20	388.10	21
203	119	213.76	431.04	21
204	104	462.14	477.50	21
205	104	422.88	162.90	22
206	136	301.29	226.08	22
207	125	384.25	255.60	22
208	144	27.74	308.88	22
209	121	335.70	355.47	22
210	133	99.20	356.76	22
211	115	418.63	387.84	22
212	112	214.68	429.75	22
213	98	461.89	476.33	22
214	125	423.24	162.69	23
215	143	301.97	226.13	23
216	139	382.57	256.27	23
217	151	28.82	308.10	23
218	110	470.15	343.87	23
219	140	99.82	356.66	23
220	132	336.33	356.27	23
221	124	417.35	388.02	23
222	130	213.52	428.21	23
223	120	461.86	475.92	23
224	121	424.61	162.43	24
225	141	301.19	226.18	24
226	133	382.81	256.73	24
227	147	28.51	308.00	24
228	98	470.56	344.29	24
229	122	336.43	356.15	24
230	131	99.54	357.23	24
231	112	417.04	389.06	24
232	121	213.45	428.03	24
233	105	462.24	477.09	24
234	103	423.88	163.89	25
235	132	300.47	227.39	25
236	131	382.80	256.39	25
237	141	28.35	308.32	25
238	129	99.64	355.86	25
239	115	335.76	356.00	25
240	112	416.73	388.90	25
241	117	213.89	427.18	25
242	103	461.86	476.02	25
243	124	423.40	162.81	26
244	143	300.81	226.21	26
245	141	383.23	257.83	26
246	151	27.24	309.76	26
247	111	469.62	346.52	26
248	143	100.02	355.69	26
249	129	336.57	356.86	26
250	123	416.51	389.08	26
251	125	213.88	427.22	26
252	116	462.87	477.93	26
253	139	300.52	226.68	27
254	134	383.36	258.23	27
255	148	26.60	310.07	27
256	134	100.36	355.78	27
257	119	336.59	356.92	27
258	117	417.27	388.74	27
259	119	213.88	427.05	27
260	107	463.78	478.81	27
261	135	300.70	227.34	28
262	131	382.66	258.34	28
263	143	26.26	309.35	28
264	128	100.91	355.89	28
265	112	336.12	357.29	28
266	108	417.10	388.97	28
267	112	212.79	426.82	28
268	96	463.32	478.53	28
269	121	424.16	160.73	29
270	142	300.27	228.82	29
271	138	382.82	258.43	29
272	151	26.21	310.00	29
273	105	470.13	346.95	29
274	138	101.73	355.92	29
275	129	335.57	356.93	29
276	127	418.41	389.35	29
277	126	213.48	426.09	29
278	115	463.98	478.81	29
279	112	424.20	160.27	30
280	141	299.42	229.88	30
281	136	382.67	259.56	30
282	148	25.59	310.88	30
283	107	470.40	345.07	30
284	128	102.73	356.23	30
285	122	336.08	357.10	30
286	118	418.19	390.10	30
287	125	212.96	426.67	30
288	110	463.81	479.25	30
289	102	424.87	159.29	31
290	131	298.75	229.58	31
291	125	381.88	260.10	31
292	143	25.91	311.67	31
293	130	101.44	356.23	31
294	114	336.73	357.23	31
295	111	418.45	390.80	31
296	113	211.82	427.37	31
297	90	463.68	480.38	31
